rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Polish Variation |
rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Symmetrical Variation |
rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|English Variation |
rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Classical Variation |
rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Modern Variation  |
rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Dutch Variation |
rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w|A01|Nimzovich-Larsen attack|Indian Variation |
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b|A01|Nimzovich-Larsen attack|
rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w|A00|Polish|Outflank Variation |
rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w|A00|Polish|Tuebingen Variation |
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b|A00|Polish (Sokolsky) opening|
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b|A00|Saragossa Opening|Romford counter-gambit|
rnbqkbnr/p1pppppp/8/1p6/2P5/8/PP1PPPPP/RNBQKBNR w|A10|English|Jaenisch gambit|
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w|A36|English|Symmetrical, Botvinnik system Reversed|
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b|A36|English|Symmetrical, Botvinnik system|
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w|A37|English|Symmetrical, Botvinnik system Reversed|
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b|A38|English|Symmetrical, Main line with b3|
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b|A38|English|Symmetrical, Main line with d3|
r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b|A39|English|Symmetrical, Main line with d4|
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w|A38|English|Symmetrical Variation |
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b|A37|English|Symmetrical Variation |
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w|A36|English|ultra-Symmetrical Variation |
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b|A36|English|Symmetrical Variation |
r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w|A35|English|Symmetrical, Four knights system|
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w|A35|English|Symmetrical Variation |
rnbqkb1r/ppn1pppp/8/2p5/8/2N3P1/PP1PPPBP/R1BQK1NR w|A34|English|Symmetrical, Rubinstein system|
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b|A34|English|Symmetrical Variation |
rnbqkb1r/pp2pppp/8/2pn4/8/2N2N2/PP1PPPPP/R1BQKB1R w|A34|English|Symmetrical, Three knights system|
rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b|A34|English|Symmetrical Variation |
r1b1kb1r/pp1p1ppp/1qn1pn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w|A33|English|Symmetrical, Geller Variation |
r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w|A33|English|Symmetrical Variation |
rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/8/PP2PPPP/RNBQKB1R w|A32|English|Symmetrical Variation |
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b|A31|English|Symmetrical, benoni formation|
r2qk2r/1b1nbppp/pp1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1BR2K1 w|A30|English|Symmetrical, hedgehog, flexible formation|
rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w|A30|English|Symmetrical, hedgehog system|
rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w|A30|English|Symmetrical Variation |
rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/1P3N2/P2PPPPP/RNBQKB1R w|A12|English|Caro-Kann defensive system, bogolyubov Variation |
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3N2/PB1PPPPP/RN1QKB1R w|A12|English|New York (London) defensive system|
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3N2/PB1PPPPP/RN1QKB1R w|A12|English|Capablanca's Variation |
rnbqkb1r/pp2pp1p/2p2np1/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w|A12|English|bled Variation |
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b|A12|English|Caro-Kann defensive system|
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2P5/1P3NP1/P2PPP1P/RNBQKB1R w|A12|English|London defensive system|
rn1qkb1r/pp2pppp/2p2n2/3p4/2P3b1/1P3NP1/P2PPP1P/RNBQKB1R w|A12|English|Torre defensive system|
rnbqkbnr/pp2pppp/2p5/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R b|A12|English|Caro-Kann defensive system|
rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w|A11|English|Caro-Kann defensive system|
rnbqk1nr/pppp1ppp/8/4p3/1bP5/2N5/PP1PPPPP/R1BQKBNR w|A21|English, Kramnik-Shirov counterattack|Mikenas-Carls, Sicilian Variation |
r2qkbnr/ppp2ppp/2npb3/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w|A21|English, Troeger defense|Mikenas-Carls, Sicilian Variation |
rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w|A21|English, Keres Variation |Mikenas-Carls, Sicilian Variation |
rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N2N2/PP1PPPPP/R1BQKB1R w|A21|English, Smyslov defense|Mikenas-Carls, Sicilian Variation |
rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b|A21|English Opening|Mikenas-Carls, Sicilian Variation |
r1bqk1nr/ppp2pbp/2np2p1/4p3/2P1P3/2NP2P1/PP3PBP/R1BQK1NR b|A26|English|Botvinnik system|
r1bqk1nr/ppp2pbp/2np2p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w|A26|English|Closed system|
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR b|A25|English|Closed system (without ...d6)|
r2qk1nr/ppp2pbp/2npb1p1/4p3/2P5/2N1P1P1/PP1PNPBP/R1BQK2R w|A25|English|Closed, Hort Variation |
r1bqk2r/ppp2pbp/2np2pn/4p3/2P5/2N1P1P1/PP1PNPBP/R1BQK2R w|A25|English|Closed, Taimanov Variation |
r1bqk2r/pppp1pbp/2n3pn/4p3/2P5/2N3P1/PP1PPPBP/1RBQK1NR w|A25|English|Closed, 5.Rb1 Taimanov Variation |
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/2N3P1/PP1PPPBP/1RBQK1NR b|A25|English|Closed, 5.Rb1|
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w|A25|English|Closed system|
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/P1N2N2/1P1PPPPP/R1BQKB1R b|A28|English|Four knights, Marini Variation |
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2NP1N2/PP2PPPP/R1BQKB1R b|A28|English|Four knights, Capablanca Variation |
r1bqkb1r/pppp1ppp/2n2n2/8/2PPp3/2N2N2/PP2PPPP/R1BQKB1R w|A28|English|bradley beach Variation |
r1bqk2r/pppp1pp1/5n1p/4n3/2PN3B/2P5/P3PPPP/R2QKB1R w|A28|English|Nenarokov Variation |
r1bqk2r/pppp1ppp/2n2n2/4p3/2P5/2b1PN2/PPQP1PPP/R1B1KB1R w|A28|English|Four knights, Romanishin Variation |
r1bqr1k1/pppp1ppp/2n2n2/3NpQ2/1bP5/4PN2/PP1P1PPP/R1B1KB1R b|A28|English|Four knights, Stean Variation |
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b|A28|English|Four knights, 4.e3|
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b|A28|English|Four knights, Nimzovich Variation |
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b|A29|English|Four knights, kingside Fianchetto|
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w|A28|English|Four knights system|
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b|A27|English|Three knights system|
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w|A25|English|Sicilian Reversed|
